epoch,step,train_acc,train_loss,val_acc,val_loss
0,31,,,0.16862745583057404,4.336009979248047
0,31,0.0235294122248888,4.572897911071777,,
1,63,,,0.39313724637031555,3.96124529838562
1,63,0.16862745583057404,4.163977146148682,,
2,95,,,0.520588219165802,3.5296854972839355
2,95,0.35686275362968445,3.694793939590454,,
3,127,,,0.6029411554336548,3.0091402530670166
3,127,0.47843137383461,3.1937978267669678,,
4,159,,,0.6901960968971252,2.5774619579315186
4,159,0.591176450252533,2.6749470233917236,,
5,191,,,0.7568627595901489,2.2264974117279053
5,191,0.7098039388656616,2.2523324489593506,,
6,223,,,0.7872549295425415,1.915845513343811
6,223,0.7901960611343384,1.798699975013733,,
7,255,,,0.813725471496582,1.6134811639785767
7,255,0.8294117450714111,1.506652593612671,,
8,287,,,0.8392156958580017,1.4443258047103882
8,287,0.8990195989608765,1.1805002689361572,,
9,319,,,0.8549019694328308,1.2333669662475586
9,319,0.9323529601097107,0.9290773272514343,,
10,351,,,0.8578431606292725,1.1101841926574707
10,351,0.9450980424880981,0.7627420425415039,,
11,383,,,0.8627451062202454,1.0419496297836304
11,383,0.9607843160629272,0.5928319096565247,,
12,415,,,0.8813725709915161,0.9146389365196228
12,415,0.9666666388511658,0.5035684704780579,,
13,447,,,0.8794117569923401,0.8742741942405701
13,447,0.9852941036224365,0.3853672444820404,,
14,479,,,0.8941176533699036,0.8066208362579346
14,479,0.9882352948188782,0.32804062962532043,,
15,511,,,0.8911764621734619,0.7704317569732666
15,511,0.9921568632125854,0.26799365878105164,,
16,543,,,0.8931372761726379,0.7384418249130249
16,543,0.9931372404098511,0.21863190829753876,,
17,575,,,0.8921568393707275,0.7020163536071777
17,575,0.9960784316062927,0.18660201132297516,,
18,607,,,0.9019607901573181,0.6896187663078308
18,607,0.9931372404098511,0.16701439023017883,,
19,639,,,0.8921568393707275,0.6580000519752502
19,639,0.998039186000824,0.14386114478111267,,
20,671,,,0.8941176533699036,0.631037175655365
20,671,0.9970588088035583,0.13292713463306427,,
21,703,,,0.8990195989608765,0.6335281729698181
21,703,0.998039186000824,0.10821997374296188,,
22,735,,,0.8999999761581421,0.6082175970077515
22,735,1.0,0.11120718717575073,,
23,767,,,0.9009804129600525,0.592406690120697
23,767,0.9990196228027344,0.08940459787845612,,
24,799,,,0.9009804129600525,0.5860350728034973
24,799,1.0,0.07691780477762222,,
25,831,,,0.906862735748291,0.558948278427124
25,831,0.9990196228027344,0.07454101741313934,,
26,863,,,0.908823549747467,0.5509086847305298
26,863,1.0,0.06948035955429077,,
27,895,,,0.9058823585510254,0.5577511787414551
27,895,0.9990196228027344,0.06293124705553055,,
28,927,,,0.8999999761581421,0.5404258966445923
28,927,1.0,0.06250482052564621,,
29,959,,,0.9039215445518494,0.522308886051178
29,959,1.0,0.054117076098918915,,
30,991,,,0.9039215445518494,0.5225141048431396
30,991,0.9990196228027344,0.05623336881399155,,
31,1023,,,0.9117646813392639,0.5125896334648132
31,1023,1.0,0.049970515072345734,,
32,1055,,,0.9127451181411743,0.5027004480361938
32,1055,1.0,0.0514577217400074,,
33,1087,,,0.9098039269447327,0.5051943063735962
33,1087,1.0,0.03882105275988579,,
34,1119,,,0.906862735748291,0.5009715557098389
34,1119,1.0,0.03779583051800728,,
35,1151,,,0.9058823585510254,0.4981153607368469
35,1151,1.0,0.03456055000424385,,
36,1183,,,0.906862735748291,0.48522284626960754
36,1183,1.0,0.03626440465450287,,
37,1215,,,0.906862735748291,0.49000418186187744
37,1215,0.9990196228027344,0.03105400688946247,,
38,1247,,,0.9078431129455566,0.48137304186820984
38,1247,1.0,0.03222405165433884,,
39,1279,,,0.9078431129455566,0.4740055799484253
39,1279,1.0,0.03086714632809162,,
40,1311,,,0.9049019813537598,0.47120994329452515
40,1311,1.0,0.031482286751270294,,
41,1343,,,0.9058823585510254,0.4662713408470154
41,1343,0.9990196228027344,0.02854064293205738,,
42,1375,,,0.906862735748291,0.4580760598182678
42,1375,1.0,0.02593180537223816,,
43,1407,,,0.908823549747467,0.453932523727417
43,1407,1.0,0.02155301533639431,,
44,1439,,,0.9009804129600525,0.466878205537796
44,1439,1.0,0.02413291297852993,,
45,1471,,,0.9107843041419983,0.4534025490283966
45,1471,1.0,0.025569384917616844,,
46,1503,,,0.9078431129455566,0.4471712112426758
46,1503,1.0,0.02125827968120575,,
47,1535,,,0.9107843041419983,0.452287495136261
47,1535,1.0,0.022090040147304535,,
48,1567,,,0.9098039269447327,0.43239399790763855
48,1567,1.0,0.022040655836462975,,
49,1599,,,0.9049019813537598,0.4491546154022217
49,1599,1.0,0.018739227205514908,,
